(SCHEMES,"Schemes",1)
(ID,"GGP",19)
(RIGHT_PAREN,")",19)
(COLON_DASH,":-",19)
(ID,"grandchildOf",19)
(LEFT_PAREN,"(",19)
(ID,"C",19)
(COMMA,",",19)
(ID,"GP",19)
(RIGHT_PAREN,")",19)
(COMMA,",",19)
(ID,"childOf",19)
(LEFT_PAREN,"(",19)
(ID,"GP",19)
(COMMA,",",19)
(ID,"GGP",19)
(RIGHT_PAREN,")",19)
(PERIOD,".",19)
(ID,"auntOrUncleOf",20)
(LEFT_PAREN,"(",20)
(ID,"AU",20)
(COMMA,",",20)
(ID,"C",20)
(RIGHT_PAREN,")",20)
(COLON_DASH,":-",20)
(ID,"childOf",20)
(LEFT_PAREN,"(",20)
(ID,"C",20)
(COMMA,",",20)
(ID,"P",20)
(RIGHT_PAREN,")",20)
(COMMA,",",20)
(ID,"siblingOf",20)
(LEFT_PAREN,"(",20)
(ID,"AU",20)
(COMMA,",",20)
(ID,"P",20)
(RIGHT_PAREN,")",20)
(PERIOD,".",20)
(ID,"siblingOf",21)
(LEFT_PAREN,"(",21)
(ID,"C1",21)
(COMMA,",",21)
(ID,"C2",21)
(RIGHT_PAREN,")",21)
(COLON_DASH,":-",21)
(ID,"parentOf",21)
(LEFT_PAREN,"(",21)
(ID,"P",21)
(COMMA,",",21)
(ID,"C1",21)
(RIGHT_PAREN,")",21)
(COMMA,",",21)
(ID,"parentOf",21)
(LEFT_PAREN,"(",21)
(ID,"P",21)
(COMMA,",",21)
(ID,"C2",21)
(RIGHT_PAREN,")",21)
(PERIOD,".",21)
(ID,"cousinOf",22)
(LEFT_PAREN,"(",22)
(ID,"C1",22)
(COMMA,",",22)
(ID,"C2",22)
(RIGHT_PAREN,")",22)
(COLON_DASH,":-",22)
(ID,"auntOrUncleOf",22)
(LEFT_PAREN,"(",22)
(ID,"AU",22)
(COMMA,",",22)
(ID,"C1",22)
(RIGHT_PAREN,")",22)
(COMMA,",",22)
(ID,"auntOrUncleOf",22)
(LEFT_PAREN,"(",22)
(ID,"AU",22)
(COMMA,",",22)
(ID,"C2",22)
(RIGHT_PAREN,")",22)
(PERIOD,".",22)
(ID,"cousinOf",23)
(LEFT_PAREN,"(",23)
(ID,"C1",23)
(COMMA,",",23)
(ID,"C2",23)
(RIGHT_PAREN,")",23)
(COLON_DASH,":-",23)
(ID,"childOf",23)
(LEFT_PAREN,"(",23)
(ID,"C1",23)
(COMMA,",",23)
(ID,"P1",23)
(RIGHT_PAREN,")",23)
(COMMA,",",23)
(ID,"childOf",23)
(LEFT_PAREN,"(",23)
(ID,"C2",23)
(COMMA,",",23)
(ID,"P2",23)
(RIGHT_PAREN,")",23)
(COMMA,",",23)
(ID,"siblingOf",23)
(LEFT_PAREN,"(",23)
(ID,"P1",23)
(COMMA,",",23)
(ID,"P2",23)
(RIGHT_PAREN,")",23)
(PERIOD,".",23)
(ID,"cousinOf",24)
(LEFT_PAREN,"(",24)
(ID,"C1",24)
(COMMA,",",24)
(ID,"C2",24)
(RIGHT_PAREN,")",24)
(COLON_DASH,":-",24)
(ID,"grandchildOf",24)
(LEFT_PAREN,"(",24)
(ID,"C1",24)
(COMMA,",",24)
(ID,"P",24)
(RIGHT_PAREN,")",24)
(COMMA,",",24)
(ID,"grandchildOf",24)
(LEFT_PAREN,"(",24)
(ID,"C2",24)
(COMMA,",",24)
(ID,"P",24)
(RIGHT_PAREN,")",24)
(PERIOD,".",24)
(QUERIES,"Queries",26)
(COLON,":",26)
(ID,"grandchildOf",27)
(LEFT_PAREN,"(",27)
(ID,"C",27)
(COMMA,",",27)
(ID,"GP",27)
(RIGHT_PAREN,")",27)
(Q_MARK,"?",27)
(ID,"greatGrandchildOf",28)
(LEFT_PAREN,"(",28)
(ID,"C",28)
(COMMA,",",28)
(ID,"GP",28)
(RIGHT_PAREN,")",28)
(Q_MARK,"?",28)
(ID,"auntOrUncleOf",29)
(LEFT_PAREN,"(",29)
(ID,"A",29)
(COMMA,",",29)
(ID,"B",29)
(RIGHT_PAREN,")",29)
(Q_MARK,"?",29)
(ID,"siblingOf",30)
(LEFT_PAREN,"(",30)
(ID,"A",30)
(COMMA,",",30)
(ID,"B",30)
(RIGHT_PAREN,")",30)
(Q_MARK,"?",30)
(ID,"cousinOf",31)
(LEFT_PAREN,"(",31)
(ID,"A",31)
(COMMA,",",31)
(ID,"B",31)
(RIGHT_PAREN,")",31)
(Q_MARK,"?",31)
(EOF,"",32)
Total Tokens = 282
